title,url,domain,seendate,language,sourcecountry,event_id,phase
Harvard hit by new breach after phone phishing attack,https://www.foxnews.com/tech/harvard-hit-new-breach-after-phone-phishing-attack,www.foxnews.com,2025-12-07,en,,REC2,post
Maduro’s forces face renewed scrutiny as US tensions rise: ‘a fortress built on sand’,https://www.foxnews.com/world/maduros-forces-face-renewed-scrutiny-us-tensions-rise-a-fortress-built-sand,www.foxnews.com,2025-12-07,en,,REC2,post
"Russia unleashes major drone, missile attack on Ukraine as US diplomatic talks continue",https://www.foxnews.com/world/russia-unleashes-major-drone-missile-attack-ukraine-us-diplomatic-talks-continue,www.foxnews.com,2025-12-07,en,,REC2,post
Washington Post stands by Hegseth 'kill them all' report on boat strike despite testimony denial,https://www.foxnews.com/media/washington-post-stands-hegseth-kill-them-all-report-boat-strike-despite-testimony-denial,www.foxnews.com,2025-12-06,en,,REC2,post
"Hegseth hints major defense spending increase, reveals new details on Trump’s anti-narcoterrorism operations",https://www.foxnews.com/politics/placeholder-hegseth-makes-big-announcement-reagan-forum-california,www.foxnews.com,2025-12-06,en,,REC2,post
"Hegseth hints major defense spending increase, reveals new details on Trump’s anti-narcoterrorism operations",https://www.foxnews.com/politics/hegseth-hints-major-defense-spending-increase-reveals-new-details-trumps-anti-narcoterrorism-operations,www.foxnews.com,2025-12-06,en,,REC2,post
"Chechen leader threatens Zelenskyy amid drone strike, echoes alleged assassination plot",https://www.foxnews.com/world/chechen-leader-threatens-zelenskyy-amid-drone-strike-echoes-alleged-assassination-plot,www.foxnews.com,2025-12-07,en,,REC2,post
‘Another D-Day’: Biden once urged ‘international strike force’ on narco-terrorists as Dems now blast Trump,https://www.foxnews.com/politics/another-d-day-biden-once-urged-international-strike-force-narco-terrorists-dems-now-blast-trump,www.foxnews.com,2025-12-06,en,,REC2,post
Lawmaker urges release of Venezuela strike footage as parties split over whether targets were defenseless,https://www.foxnews.com/politics/lawmaker-urges-release-venezuela-strike-footage-parties-split-over-whether-targets-were-defenseless,www.foxnews.com,2025-12-08,en,,REC2,post
Bills rally with 21 points in 4th quarter to defeat Bengals in snowy Buffalo,https://www.foxnews.com/sports/bills-rally-21-points-4th-quarter-defeat-bengals-snowy-buffalo,www.foxnews.com,2025-12-07,en,,REC2,post
Packers seal crucial NFC North win over Bears in thrilling fashion at Lambeau Field,https://www.foxnews.com/sports/packers-seal-crucial-nfc-north-win-over-bears-thrilling-fashion-lambeau-field,www.foxnews.com,2025-12-08,en,,REC2,post
"Tom Cotton calls on Washington Post to apologize to Hegseth, Bradley for 'slander'",https://www.foxnews.com/media/tom-cotton-calls-washington-post-apologize-hegseth-bradley-slander,www.foxnews.com,2025-12-07,en,,REC2,post
Thailand launches airstrikes along Cambodia border as tensions escalate,https://www.foxnews.com/world/thailand-launches-airstrikes-along-cambodia-border-tensions-escalate,www.foxnews.com,2025-12-08,en,,REC2,post
"Congress unveils $900B defense bill targeting China with tech bans, investment crackdown, US troop pay raise",https://www.foxnews.com/politics/congress-unveils-900b-defense-bill-targeting-china-tech-bans-investment-crackdown,www.foxnews.com,2025-12-08,en,,REC2,post
Democrats escalate war-crime accusations as White House calls ‘innocent fisherman’ the new ‘Maryland Man’ hoax,https://www.foxnews.com/politics/democrats-escalate-war-crime-accusations-white-house-calls-innocent-fisherman-new-maryland-man-hoax,www.foxnews.com,2025-12-07,en,,REC2,post
NFL cites player safety in plan to bring every stadium’s playing surface up to enhanced standards,https://www.foxnews.com/sports/nfl-cites-player-safety-plan-bring-every-stadiums-playing-surface-up-enhanced-standards,www.foxnews.com,2025-12-06,en,,REC2,post
Congress will vote on limiting Hegseth’s travel budget unless he releases unedited video of boat strikes | CNN Politics,https://www.cnn.com/2025/12/08/politics/hegseth-travel-budget-strikes-video-congress,www.cnn.com,2025-12-08,en,,REC2,post
Chiefs’ playoff hopes dwindle as Patrick Mahomes throws three interceptions in loss to Texans,https://www.foxnews.com/sports/chiefs-playoff-hopes-dwindle-patrick-mahomes-throws-three-interceptions-loss-texans,www.foxnews.com,2025-12-08,en,,REC2,post
Top bipartisan lawmakers support releasing video of controversial boat strikes | CNN Politics,https://www.cnn.com/2025/12/08/politics/lawmakers-boat-strike-video,www.cnn.com,2025-12-08,en,,REC2,post
Fresh Trump-linked case puts Boasberg back in GOP crosshairs,https://www.foxnews.com/politics/fresh-trump-linked-case-puts-boasberg-back-gop-crosshairs,www.foxnews.com,2025-12-06,en,,REC2,post
Fox News Politics Newsletter: Trump critic Jasmine Crockett shakes up Senate race,https://www.foxnews.com/politics/fox-news-politics-newsletter-trump-critic-jasmine-crockett-shakes-up-senate-race,www.foxnews.com,2025-12-08,en,,REC2,post
Fact check: Trump denies saying something he said on camera five days ago | CNN Politics,https://www.cnn.com/2025/12/08/politics/fact-check-trump-september-strike-video,www.cnn.com,2025-12-08,en,,REC2,post
"Trump blames Maduro for migrants, but a war in Venezuela could create millions of refugees | CNN Politics",https://www.cnn.com/2025/12/07/politics/venezuela-war-migrants-trump,www.cnn.com,2025-12-07,en,,REC2,post
"Trump’s long-running feud with New York Times escalates with new insults, lawsuits",https://www.foxnews.com/media/trumps-long-running-feud-new-york-times-escalates-new-insults-lawsuits,www.foxnews.com,2025-12-06,en,,REC2,post
Hegseth defends action in the Caribbean amid mounting questions | CNN Politics,https://www.cnn.com/2025/12/06/politics/hegseth-carribean-military-action-defend,www.cnn.com,2025-12-06,en,,REC2,post
"Lenient judges ignore red flags, cave to soft-on-crime pressures as they release repeat offenders: attorney",https://www.foxnews.com/us/lenient-judges-ignore-red-flags-cave-soft-crime-pressures-release-repeat-offenders-attorney,www.foxnews.com,2025-12-08,en,,REC2,post
Scammers target wireless customers in new phone scheme,https://www.foxnews.com/tech/scammers-target-wireless-customers-new-phone-scheme,www.foxnews.com,2025-12-06,en,,REC2,post
Trump goes to bat for Roger Clemens' Hall of Fame candidacy ahead of committee vote,https://www.foxnews.com/sports/trump-goes-bat-roger-clemens-hall-fame-candidacy-ahead-committee-vote,www.foxnews.com,2025-12-07,en,,REC2,post
"Melania Trump, Olena Zelenska spotlight billion-dollar Russian plot to abduct, indoctrinate Ukrainian kids",https://www.foxnews.com/world/melania-trump-olena-zelenska-spotlight-billion-dollar-russian-plot-abduct-indoctrinate-ukrainian-kids,www.foxnews.com,2025-12-08,en,,REC2,post
How Trump decides whom to pardon and how their cases catch his eye,https://www.cnn.com/2025/12/08/politics/pardon-trump-who-why,www.cnn.com,2025-12-08,en,,REC2,post
Murals at a housing project in Portugal highlight UN goals and build local pride,https://apnews.com/article/portugal-murals-united-nations-sustainable-development-goals-8dc8be65e2b65881220c11deab37e2e5,apnews.com,2025-12-08,en,,REC2,post
